旅店名稱,CountyCode,AreaCode,Village,StreetDoorPlate,聯絡電話,111年優惠方案
台灣詩路民宿,67000,67000020,田寮里,68號,927563237,"本旅館(宿)為響應環保，即日起至2022年12月31日止，民眾自備盥洗用具或續住不換床單毛巾，優惠住宿95折，不適用農曆春節期間與星期六及國定假日。\n(優惠方案以民宿公告為主，本民宿保留活動內容說明及修改之權利，恕不另行通知)"""
ALife 好生活整合國際旅宿,67000,67000020,,朝琴路127-2號,0933-352757,"本民宿為響環保，主動參與環保署辦理環保旅店即日起至111年12月31日，凡民眾自備盥洗用品，依當日房價公告打8折，以鼓勵民眾落實環保行為。"""
沐春民宿,67000,67000030,關嶺里,27號,06-6823232,"即日起至2022年12月31日止,民眾自備一次性備品，包含牙刷、牙膏、梳子、浴帽、拋棄式拖鞋等(依飯店規定)，折扣春舍雙人房2600+10%服務費，此優惠方案不適用於農曆春節期間與星期六及國定假日。(今年度本旅店會進行整修，暫緩住宿服務，詳細以現場為主。)"""
芳谷旅社,67000,67000030,,關子嶺24-11號,06-6822222,"即日起至2022年12月31日止，民眾自備盥洗用具及續住不換床單毛巾，房價折抵100元，此優惠方案不適用於農曆春節期間與星期六及國定假日。"""
關仔嶺統茂溫泉會館,67000,67000030,,關子嶺28號,06-6823456#109,本會館不主動提供一次性備品(如
尖山埤江南渡假村,67000,67000040,旭山里,60號,06-6233888,"尖山埤江南渡假村為響應環保愛地球，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日期間住宿本旅館，凡民眾自備盥洗用品，將優待豪華木屋兩人房平日每房1,990元及江南會館兩人房平日每房2,500元等房價，以鼓勵民眾落實環保行為。(不提供消耗備品及不提供早餐，)"""
穀意鄉居,67000,67000050,菁寮里,11-8號,06-6621101,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間住宿本民宿，凡民眾自備盥洗用品(毛巾)，依當日入住每人折抵房價50元，提供優惠以鼓勵民眾落實環保行為"""
無米樂荷蘭井湧泉民宿,67000,67000050,菁寮里,11鄰菁寮129號,06-6622705,"即日起至2022年12月31日止，凡自備毛巾、牙刷、牙膏等清潔用品者，提供菁寮台客袋乙只。"""
向陽田園居民宿,67000,67000060,大客里,凹仔腳56-7號,06-6801877,"本旅館(宿)為響應環保，即日起至2022年12月31日止，民眾自備盥洗用品優惠95折；且續住不更換床單及毛巾措施，優惠再加碼提供東山咖啡一杯。此優惠方案不適用於農曆春節期間與星期六及國定假日。(優惠方案以飯店公告為主，本飯店保留活動內容說明及修改之權利，恕不另行通知)"""
556吉荷民宿,67000,67000110,環湖里,環湖55-6號,0972-885805,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間住宿本民宿，凡民眾自備盥洗用品，依當日入住折抵房價打93折且續住不更換床單及毛巾優位加碼提供每日優惠房價100元，提供優惠以鼓勵民眾落實"""
喜來登汽車旅館,67000,67000120,民安里,同安寮1之20號,06-7232700,"即日起至2022年12月31日止，民眾自備盥洗用具或續住不換床單毛巾，續住一天房價折抵100元，此優惠方案不適用於農曆春節期間與星期六及國定假日。"""
荷蘭洋行,67000,67000130,,自強路103號,06-7823000,"本旅館為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間住宿本旅館，凡民眾自備盥洗用品，依當日入住折抵房價100元且續住不更換床單及毛巾優位加碼提供每日優惠房價100元，提供優惠以鼓勵民眾落實。"""
後營四號,67000,67000140,,後營4號,0928-135796,"即日起至2022年12月31日止，民眾自備盥洗用品或續住不更換床單及毛巾即提供依當日公告房價打95折優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日。"""
十份鹽居民宿,67000,67000150,十份里,十份59-10號,06-2815132,"906010105"""
贊美酒店,67000,67000190,,成功路252號,06-5838383#6630,"本旅館為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日期間住宿本旅館，凡民眾自備盥洗用品優惠依當日公告房價打95折。"""
田園別莊,67000,67000190,,中正路2號,06-5833333,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間自備盥洗用品優惠依當日公告房價打9折，且續住不更換床單及毛巾優惠再加碼贈送小禮品一份。"""
巨地花園度假酒店,67000,67000200,大營里,133號,06-5990055,"本旅館為響應環保,即日起至2022年12月31日,民眾自備換洗用品入住,依當日公告房價打95折。(本館目前為防疫旅館，不提供環保專案)"""
新大南科大飯店,67000,67000200,,中正路406號,06-5899111,"因應環保愛地球，即日起至111年12月31日，住宿期間不換床單、不整房、不提供備品 價格優惠單人房1680元，雙人房2000元，四人房3200元 此優惠不附早餐，假日及例假日優惠方案之房價需加200元。"""
晶綻花園汽車旅館,67000,67000200,,善新大道1號,06-5858877,"本旅館為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間住宿本旅館，凡民眾自備盥洗用品，依當日公告商務房型房價打9折，提供優惠以鼓勵民眾落實環保行為"""
救國團青年救國團曾文青年活動中心,67000,67000240,密枝里,70-1號,06-5753431,"本旅館為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間自備盥洗用品入住，清芳樓四人房1950元/間，忠孝莊兩人房1400元/間。(僅限平日適用)"""
台南趣淘漫旅,67000,67000240,密枝里,密枝102-5號,0,"06-5753333"""
國妃鷹堡汽車旅館(仁德館),67000,67000270,,仁義路205號,06-2793300,"即日起至2022年12月31日止，凡民眾自備盥洗用具或續住不換床單及毛巾，享有房價折抵100元優惠，與其他優惠方案不可合併使用，特殊節日及假日不適用。"""
華南商旅,67000,67000310,,中華路152-1號,06-3133622,"即日起至2022年12月31日止，民眾自備盥洗用品入住者，折抵房價100元，此優惠方案不適用於農曆春節期間與星期六及國定假日。"""
劍橋大飯店-永康館,67000,67000310,,新行街128號,(06)2426666,"即日起至2022年12月31日止，民眾自備盥洗用具入住者或不更換毛巾者，優惠房價：兩人同行1300元、三人2000元、四人2500元，此優惠方案不適用於農曆春節期間與星期六及國定假日。"""
香格里拉台南遠東國際大飯店,67000,67000320,,大學路西段89號,06-7028888,"本飯店為響應環保，為地球盡一份心力，主動餐與環保署辦理「環保旅店」即日起至111年6月30日，民眾只要在辦理入住時，選擇不更換布巾及不提供一次性備品的環保方案，就送300元用餐金，本方案須入住三天兩夜以上。"""
台南老爺行旅,67000,67000320,,中華東路一段368號,0,"06-2361680"""
古都101,67000,67000320,,長榮路二段32巷101號,0921-405381,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間自備盥洗用品入住，每人每日折價50元，購買紀念品享9折優惠。"""
台糖長榮酒店(台南),67000,67000320,,中華東路三段336巷1號,(06)3373888#2310,"本旅館(宿)為響應環保，2022年1月1日至12月31日止，提供旅客入住豪華客房(單/雙床)$2599元優惠；本專案不含早餐，不提供客房備品 (包含；毛巾/牙刷 / 牙膏 / 浴帽 / 刮鬍刀 / 沐浴用品 / 室內拖鞋 / 茶包 )；本專案享迎賓水果、免費礦泉水、免費停車，免費使用健身俱樂部設施；【連續入住】不提供床單、被套、枕套之更換。\n*農曆春節期間、星期六及國定假日不適用\n(優惠方案以酒店公告為主，本酒店保留活動內容說明及修改之權利，恕不另行通知)"""
寶麗頌旅館,67000,67000320,,中華東路三段452巷8弄2號,06-3365874,"本旅館為響應環保,即日起至2022年12月31日,凡民眾自備盥洗用品或續住不更換床單及毛巾，提供房價較一般客房優惠10%的環保客房供民眾選擇。"""
宏盛鑫商務飯店,67000,67000320,,崇明路239號,06-3350888,"即日起至2022年12月31日止，民眾自備盥洗用具或不更換床單毛巾者，折抵房價優惠100元，此優惠方案不適用於農曆春節期間。"""
永華春休閒商務旅館,67000,67000320,,裕信路338號,06-3310277,"即日起至2022年12月31日止，民眾續住不換房、不清潔、不提供備品，即贈送100元折價券於下次住房使用之優惠。"""
塔木德酒店台南館,67000,67000320,,裕學路90號,06-2688288,為響應環保節能，並配合環保署推廣之環保旅店，特別規劃環保專案，即日起至2022年12月31日止，凡自備一次性備品之旅客，每房每晚可折抵房價$100元。 注意事項
府城商旅,67000,67000320,,榮譽街292號,06-2905388,"即日起至2022年12月31日止，民眾自備盥洗用具或不更換床單毛巾者，折抵房價優惠100元，此優惠方案不適用於農曆春節期間與星期六及國定假日。"""
國妃鷹堡汽車旅館(健康館),67000,67000330,,健康路二段500號,06-2635588,"即日起至2022年12月31日止，凡民眾自備盥洗用具或續住不換床單及毛巾，享有房價折抵8折，續住第二天以上(含)7.5折之優惠，與其他優惠方案不可合併使用，特殊節日及假日不適用。"""
H VILLA INN 清水漾,67000,67000330,,萬年二街81號,06-2965888,"清水漾邀您一起環保愛地球為下一代延續更美好的生態環境，自備盥洗用品入住(本專案不包含牙刷/刮鬍刀/梳子/浴帽/洗髮精/潤髮乳/沐浴乳/潤膚乳/紙拖鞋)，平日水汝（一大床）$2,299元，假日水汝（一大床）$3,299元。"""
首相大飯店,67000,67000340,,公園路128號,06-2252141,"即日起至2022年12月31日止，民眾自備盥洗用品或續住不更換毛巾床單者，提供房價優惠100元。"""
傑克堡旅館,67000,67000340,,民德路58巷106號,0966-515771,"本旅館為響應環保,即日起至2022年12月31日,民眾續住不更換床單及毛巾者提供每日優惠房價100元。"""
天下大飯店,67000,67000340,,成功路202號,06-2290271*1307,"即日起至2022年12月31日止，民眾自備盥洗用品入住，優惠平日入住標準雙人房2500、搖擺三人房3400、搖擺四人房3900等房型，以上含歐式自助早餐，客房提供毛浴巾.恕不提供備品及紙拖鞋。 (優惠方案以飯店公告為主，本飯店保留活動內容說明及修改之權利，恕不另行通知)"""
富信大飯店,67000,67000340,,成功路336號,06-2227373,"本旅館為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日止，凡民眾自備盥洗用品，標準客房優惠價$2689，雅緻家庭房優惠價$4129，以鼓勵民眾落實環保行為。"""
FUNDI HOTEL,67000,67000340,,成功路68巷27號,0910-895655,"FUNDI HOTEL有感於環保意識的高漲，主動參與環保署環保旅店活動，不主動提供一次性備品等措施 即日起至2022年12月31日止，民眾自備盥洗用具或續住不換床單毛巾，提供雙人房平日減100元；四人房平日減200元，此優惠方案不適用於農曆春節期間與星期六及國定假日。"""
新東亞旅埕,67000,67000340,,成功路68巷45號,0921-220150,"新東亞旅埕為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日止凡民眾自備盥洗用品或續住不更換床單及毛巾即提供每日優惠房價100元優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
南方家屋旅店,67000,67000340,,前鋒路318號,06-2096988,"本旅館（宿）為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日期間住宿，民眾自備盥洗用品及續住不更換床單毛巾，折抵房價優惠100元，此優惠方案不適用於農曆春節期間與星期六及國定假日。"""
榮美金鬱金香酒店,67000,67000340,,海安路三段50號,06-2200366,即日起至111年12月31日，凡預訂環保房專案，客房內無提供一次性備品(如
好室連連,67000,67000340,,海安路三段53巷18號,0910-995939,"本民宿為響應環保，主動參與環保署辦理「環保旅店」即日起至2022年12月31日期間續住不更換床單及毛巾者，提供每日優惠房價100元。"""
禧榕軒大飯店,67000,67000340,,成功路28號,06-2222188,"本旅館（宿）為響應環保，主動參與環保署辦理「環保旅店」，即日起至2023年06月30日期間住宿本旅館，凡民眾自備盥洗用品或續住不更換床單及毛巾即提供優惠，以鼓勵民眾落實環保行為。"""
回家旅行,67000,67000350,,尊安街87號,0914-039585,"回家旅行為響應環保，主動參與環保署辦理「環保旅店」，即日起凡民眾自備盥洗用品或續住不更換床單及毛巾，入住參加永順號遊潟湖即折價30元優惠，以鼓勵民眾落實環保行為。"""
拾光旅宿,67000,67000360,玉城里,安北路115號,0900 087 115,"拾光旅宿為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日凡民眾續住不更換床單及毛巾即提供每日優惠房價100元優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
莉莉安民宿,67000,67000360,,世平一街8巷4號,0953-261251,"莉莉安民宿為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日民眾至民宿住宿自備盥洗用品或續住不更換床單及毛巾即提供免費咖啡一杯，以鼓勵民眾落實環保行為。"""
VIVA漁樂活台南安平民宿,67000,67000360,,世平五街10巷37號,0909-225296,"VIVA漁樂活台南安平民宿為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日，凡民眾自備盥洗用品入住，依當日公告房價打95折優惠，此優惠方不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
安平倆倆民宿,67000,67000360,,世平路21號,06-2908091,"安平倆倆民宿為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日，凡民眾自備盥洗用品或續住不更換床單及毛巾即提供每日優惠房價200元優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
我小時候Design Hotel,67000,67000360,,世平路7號,0919-823565,"即日起至2022年12月31日止，『民眾自備盥洗用品或續不更換床單及毛巾，即提供優惠方案 ，提供雙人房假日減100元/平日減200元；四人房假日減200元/平日減300元』，如其他優惠方案不得合併使用。(本民宿目前為防疫旅館，不提供環保專案，詳細以現場為主。)"""
樹屋文旅,67000,67000360,,永華五街20號,06-2989566,"樹屋文旅為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日凡民眾續住不更換床單及毛巾即提供每日優惠房價100元優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
玩聚安平民宿,67000,67000360,,安平路606巷17弄13號,0976-677859,"玩聚安平民宿為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日止,凡民眾自備盥洗用品或續住不更換床單及毛巾即提供精美小禮物送給旅客，以鼓勵民眾落實環保行為。"""
黑琵軼棧民宿,67000,67000360,,州平二街38巷12號,0988-465941,"黑琵軼棧民宿為響應環保，主動參與環保署辦理「環保旅店」，即日起至2022年12月31日止,凡民眾自備盥洗用品或續住不更換床單及毛巾即提供每日優惠房價100元優惠，此優惠方案不適用於農曆春節期間與星期六及國定假日，以鼓勵民眾落實環保行為。"""
安平作夥憩海邊,67000,67000360,,州平二街38巷22號,0937-017956,"本旅館(宿)為響應環保,即日起至2022年12月31日止,民眾續住不更換床單及毛巾者,提供9折優惠。"""
